index,state,region,Commute Mode Share - Auto: Raw Value,Commute Mode Share - Auto: Score,Commute Mode Share - Transit: Raw Value,Commute Mode Share - Transit: Score,Commute Mode Share - Bicycle: Raw Value,Commute Mode Share - Bicycle: Score,Commute Mode Share - Walk: Raw Value,Commute Mode Share - Walk: Score,Complete Streets Policies: Raw Value,Complete Streets Policies: Score,"DUI/DWI Fatalities per 10,000 Residents: Raw Value","DUI/DWI Fatalities per 10,000 Residents: Score",Person Miles of Travel by Private Vehicle: Raw Value,Person Miles of Travel by Private Vehicle: Score,Person Miles of Travel by Walking: Raw Value,Person Miles of Travel by Walking: Score,Physical Activity from Transportation: Raw Value,Physical Activity from Transportation: Score,Proximity to Major Roadways: Raw Value,Proximity to Major Roadways: Score,"Road Traffic Fatalities per 100,000 Residents - Auto: Raw Value","Road Traffic Fatalities per 100,000 Residents - Auto: Score","Road Traffic Fatalities per 100,000 Residents - Bicycle: Raw Value","Road Traffic Fatalities per 100,000 Residents - Bicycle: Score","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Raw Value","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Score",Road Traffic Fatalities Exposure Rate - Auto: Raw Value,Road Traffic Fatalities Exposure Rate - Auto: Score,Road Traffic Fatalities Exposure Rate - Bicycle: Raw Value,Road Traffic Fatalities Exposure Rate - Bicycle: Score,Road Traffic Fatalities Exposure Rate - Pedestrian: Raw Value,Road Traffic Fatalities Exposure Rate - Pedestrian: Score,Seat Belt Use: Raw Value,Seat Belt Use: Score,Transit Trips per Capita: Raw Value,Transit Trips per Capita: Score,Use of Federal Funds for Bicycle and Pedestrian Efforts: Raw Value,Use of Federal Funds for Bicycle and Pedestrian Efforts: Score,Vehicle Miles Traveled per Capita: Raw Value,Vehicle Miles Traveled per Capita: Score
15,Kansas,kansas,0.922,19.535542,0.005677657,19.824371,0.002764653,21.64377,0.022313825,28.247408,No policy,0,3.396412,51.435397,33623.76238,22.547688,171.017102,33.541853,0.084446565,45.238843,0.001116927,81.379837,13.1,27.260286,0.1,62.551612,0.7,90.704608,14.3,28.861954,41.2,41.776148,27.3,74.458014,0.795,21.561718,4.9,27.704091,0.011,13.992532,10462.01249,38.657507
16,Kentucky,kentucky,0.927,16.429318,0.010117254,28.428914,0.002308119,17.01747,0.023006958,30.474442,No policy,0,3.835853,40.375205,32208.77817,30.693049,142.941874,18.778253,0.055511914,11.316264,0.004032871,58.73155,16.3,13.178344,0.1,73.75446,1.2,48.328557,17.6,13.783005,53.9,29.024052,56.6,33.208405,0.837,39.376473,5.8,32.647149,0.032,91.789429,11005.89793,28.451126
17,Louisiana,louisiana,0.927,16.130249,0.012471963,32.714071,0.004327236,38.524836,0.018536503,17.185176,Policy in place,100,5.236701,16.875505,38292.92308,6.581799,219.076923,58.387026,0.054207537,10.299681,0.003254366,63.743795,14.5,20.261267,0.3,4.462138,2.2,3.852761,15.6,21.887203,83,13.342281,113.7,6.98631,0.793,20.878062,8.2,43.506098,0.015,31.018463,10166.27508,44.862564
18,Maine,maine,0.884,49.719038,0.005693023,19.855587,0.004390449,39.20976,0.043464498,86.298089,No policy,0,3.688368,43.898733,29622.92052,49.227029,157.116451,26.011725,0.083689155,44.206686,0,100.003383,10.7,44.588968,0.090309627,83.723015,0.8,82.712679,12.1,45.051083,17.8,80.966416,20.1,86.870003,0.844,42.921963,3.6,19.987486,0.027,81.653768,10730.34862,33.403771
19,Maryland,maryland,0.835,82.212657,0.088762297,94.971868,0.003729817,32.007802,0.02473371,36.180779,Policy in place,100,2.718838,70.794333,34758.24176,17.20215,217.391304,57.6107,0.094688222,58.841644,0.011303912,30.24826,7.1,79.880251,0.1,74.609267,1.8,11.964246,8.5,78.747994,39.8,43.565921,77.6,18.252566,0.911,78.950484,48.7,89.992712,0.01,10.696388,9626.401808,56.893522
20,Massachusetts,massachusetts,0.8,93.438674,0.094433804,95.993505,0.008045661,72.63222,0.049289334,93.039871,Policy in place,100,1.850931,92.379984,30867.28896,39.822885,472.402597,98.565085,0.131,90.84211,0.006130591,47.611275,4.2,97.984283,0.1,69.334445,1,67.522553,5.3,97.872963,18.2,80.131042,21.3,84.860331,0.727,6.068673,62.5,93.09474,0.025,75.631743,8293.876586,84.145289
21,Michigan,michigan,0.917,22.974253,0.013098147,33.824277,0.005079818,46.544263,0.02184162,26.757889,Policy in place,100,2.620789,73.624088,30672.5269,41.245345,240.094463,67.269216,0.099161023,64.358382,0.007545533,41.663006,7.8,73.288443,0.2,26.364671,1.3,45.23863,8.5,78.72373,51.5,31.086626,57.1,32.757543,0.936,89.518778,9.9,49.55553,0.019,50.67546,9595.768464,57.587463
22,Minnesota,minnesota,0.872,58.941724,0.03273479,62.547304,0.008136482,73.257064,0.028074935,47.448716,Policy in place,100,2.119099,86.867402,27208.23361,68.209823,287.697463,81.923316,0.121,85.091051,0.009929762,33.795924,6.8,82.256135,0.2,54.538501,0.7,90.688266,7.8,84.034358,21.8,73.064185,23.6,80.916784,0.936,89.518778,19,69.660558,0.035,95.22082,10601.00488,35.886486
23,Mississippi,mississippi,0.945,7.310007,0.004468669,17.325788,0.001289006,7.985814,0.017038815,13.472879,Policy in place,100,5.993738,10.214629,40335.46618,3.522916,186.471664,41.974634,0.064754098,20.105792,7.49E-06,98.849429,20.6,4.840702,0.2,41.520462,1.7,16.900897,21.8,5.041498,162.7,2.391854,100.9,9.694858,0.832,36.931432,1.1,3.358458,0.014,26.31711,13046.41004,6.51011
24,Missouri,missouri,0.913,26.077252,0.012889706,33.456067,0.002619707,20.147142,0.019304203,19.253519,No policy,0,4.647672,24.671759,43024.8927,1.45118,148.06867,21.316425,0.061950215,17.15834,0.003890458,59.607274,13,27.751616,0.063511899,90.437972,1.2,54.98278,14.3,29.092414,27.6,62.201058,58.4,31.599226,0.794,21.217973,9.2,46.932922,0.027,81.653768,11445.66591,21.566801
